Transaction_ID,Company_ID,Product_ID,Quantity,Transaction_Date,Product_Price_x,Total_Cost,Product_Name,Product_Price_y,Company_Name,Company_Profit,Address
1.0,88.0,6.0,11.0,2024-03-26,194379.14796406127,1075200.0,RevenueVue Dashboard,179200.0,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines"
2.0,29.0,19.0,16.0,2021-02-21,97930.9933803618,1428000.0,EcoNomix Modeler,95200.0,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines!"
4995.5,28.0,18.0,6.0,2021-02-21,126095.54777833456,940800.0,DashSync Analytics Hub,134400.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
4.0,85.0,12.0,12.0,2021-02-21,131600.0,1008000.0,BudgetMaster Pro,84000.0,Green Ventures 85,113470.0,"EDSA, Barangay 707, Cebu City, Philippines"
5.0,47.0,3.0,8.0,2021-02-21,99575.60963363378,705600.0,TrendWise Forecaster,100800.0,Green  Industries  47,31130.0,"Taft Ave, Barangay 707, Mandaluyong, Philippines"
6.0,80.0,11.0,4.0,2021-07-12,160658.67535045007,627200.0,OptiFlow Automation,156800.0,Green  Partners  80,111227.0,"Commonwealth Ave, Barangay 202, Manila, Philippines"
7.0,nan,nan,14.0,2023-11-01,133548.74970964075,1960000.0,RiskRadar Monitor,151200.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
7.0,nan,nan,14.0,2023-11-01,133548.74970964075,1960000.0,SpendTrack Plus,106400.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
8.0,21.0,20.0,7.0,2021-02-21,229217.9414680993,1792000.0,FinSphere Intelligence Suite,224000.0,Dynamic Enterprises 21,75301.5,"Ortigas Ave, Barangay 707, Davao City, Philippines"
9.0,96.0,1.0,14.0,2021-02-21,144758.78325409137,1344000.0,FinPredictor Suite,140000.0,Dynamic  Network  96,101428.0,"Alabang-Zapote Rd, Brgy. 456, Cebu City, Philippines"
10.0,3.0,20.0,6.0,2021-02-21,238293.8513034097,1120000.0,FinSphere Intelligence Suite,224000.0,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines"
11.0,6.0,16.0,6.0,2021-02-21,98263.85040103912,532000.0,RiskRadar Monitor,134400.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
12.0,nan,1.0,17.0,2021-02-21,135382.94960890236,2520000.0,FinPredictor Suite,140000.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
13.0,nan,12.0,15.0,2021-02-21,82352.48264946515,1260000.0,BudgetMaster Pro,84000.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
14.0,36.0,1.0,4.0,2021-02-21,141186.03640865185,560000.0,FinPredictor Suite,140000.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
15.0,66.0,12.0,17.0,2021-02-21,79380.52059221058,1428000.0,BudgetMaster Pro,84000.0,Sky Ent.s 66,99381.0,"SLEX, Barangay 202, Parañaque, Philippines"
16.0,43.0,7.0,1.0,2021-02-21,131600.0,302400.0,DataBridge Integration Tool,151200.0,Quantum Network 43,113336.0,"Ortigas Ave, Barangay 404, Cebu City, Philippines"
17.0,27.0,12.0,16.0,2021-02-21,85093.63619248601,1428000.0,BudgetMaster Pro,84000.0,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines"
4995.5,57.0,10.0,6.0,2022-07-10,131600.0,627200.0,SegmentX Targeting,89600.0,Pioneer Corp 57,118114.0,"Katipunan ave, barangay 456, parañaque, philippines"
19.0,76.0,3.0,19.0,2021-02-21,106544.97925907635,1814400.0,TrendWise Forecaster,100800.0,Tech Ventures 76,75301.5,"Commonwealth Ave, Barangay 202, Cebu City, Philippines"
20.0,52.0,20.0,11.0,2021-02-21,222889.9229549203,3808000.0,FinSphere Intelligence Suite,224000.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
21.0,88.0,13.0,11.0,2024-09-08,210759.8014489568,392000.0,ForecastXcelerator ,196000.0,Elite Consulting 88,75950.0,"EDSA, Barangay 456, Taguig, Philippines"
4995.5,25.0,18.0,2.0,2021-02-21,123745.15804172322,1344000.0,DashSync Analytics Hub,134400.0,Green Holdings 25,36659.0,"Ortigas Ave, Barangay 606, Pasig, Philippines"
23.0,46.0,17.0,11.0,2021-02-21,160605.71063159578,1176000.0,RealTime Revenue,168000.0,Dynamic Ventures 46,93219.0,"SLEX, Barangay 789, Pasig, Philippines!"
24.0,70.0,1.0,19.0,2021-05-03,145162.09735915158,2660000.0,FinPredictor Suite,140000.0,Prime Network 70,62252.0,"Alabang-Zapote Rd, Barangay 456, Baguio, Philippines"
25.0,79.0,19.0,3.0,2021-02-21,102391.22712875452,190400.0,EcoNomix Modeler,95200.0,Sky Ventures 79,83106.0,"Alabang-Zapote Rd, Barangay 505, Parañaque, Philippines"
4995.5,93.0,9.0,11.0,2021-02-21,131600.0,1792000.0,Product 9,112000.0,Innovative Holdings 93,79192.0,"EDSA, Barangay 789, Davao City, Philippines"
27.0,nan,14.0,18.0,2023-03-01,124948.88111462102,2447200.0,InsightMax Insights Platform,128800.0,Quantum Associates 67,75301.5,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
28.0,3.0,19.0,10.0,2021-02-21,103377.92636864162,952000.0,EcoNomix Modeler,95200.0,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines"
29.0,24.0,11.0,5.0,2021-02-21,142284.83462551606,1344000.0,OptiFlow Automation,156800.0,Tech  Solutions  24,89757.0,"Alabang-Zapote Rd, Barangay 456, Mandaluyong, Philippines"
30.0,100.0,9.0,10.0,2021-02-21,107914.37933409296,1232000.0,Product 9,112000.0,Global Solutions 100,75301.5,"Ayala avenue, barangay 456, taguig, philippines"
