Company_ID,Company_Name,Company_Profit,Address
1.0,Tech  Enterprises  1,80701.0,"EDSA, Barangay 606, Pasig, Philippines"
2.0,Global  Partners  2,80511.0,"Commonwealth Ave, Barangay 789, Taguig, Philippines"
3.0,Quantum Associates 3,110664.0,"Roxas Blvd, Barangay 505, Pasig, Philippines"
4.0,Prime Network 4,,"Alabang-Zapote Rd, Barangay 202, Taguig, Philippines"
5.0,Elite  Ventures  5,69427.0,"Ayala Avenue, Barangay 101, Makati, Philippines"
,Elite Network 6,36967.0,"Katipunan Ave, Barangay 707, Davao City, Philippines"
7.0,Dynamic Solutions 7,36661.0,"Commonwealth Ave, Barangay 303, Pasig, Philippines"
,Green Enterprises 8,107952.0,"Roxas blvd, barangay 404, manila, philippines"
9.0,Global Enterprises 9,96046.0,"Slex, barangay 123, pasig, philippines"
10.0,Pioneer Network 10,65200.0,"Katipunan Ave, Barangay 101, Mandaluyong, Philippines"
11.0,Dynamic Ventures 11,97442.0,"Ortigas Ave, Barangay 202, Quezon City, Philippines"
12.0,Quantum Network 12,91671.0,"Katipunan Ave, Barangay 123, Mandaluyong, Philippines"
13.0,Quantum  Enterprises  13,88168.0,"Taft Ave, Barangay 606, Makati, Philippines!"
,Quantum  Holdings  14,78322.0,"Roxas Blvd, Barangay 101, Parañaque, Philippines"
15.0,Innovative Enterprises 15,111984.0,"Roxas Blvd, Barangay 456, Taguig, Philippines"
16.0,Green  Corp  16,67696.0,"Shaw Blvd, Barangay 707, Taguig, Philippines!"
17.0,Dynamic Solutions 17,100246.0,"Ayala avenue, brgy. 404, baguio, philippines"
,Sky Network 18,68892.0,"Katipunan Ave, Barangay 707, Cebu City, Philippines"
19.0,Innovative Consulting 19,45583.0,"Ayala Avenue, Brgy. 101, Baguio, Philippines"
20.0,Pioneer Consulting 20,112720.0,"Ortigas ave, barangay 789, parañaque, philippines"
21.0,Dynamic Enterprises 21,,"Ortigas Ave, Barangay 707, Davao City, Philippines"
22.0,Sky Ent.s 22,54853.0,"SLEX, Barangay 202, Pasig, Philippines"
23.0,Prime Corp 23,,"Slex, barangay 505, manila, philippines"
24.0,Tech  Solutions  24,89757.0,"Alabang-Zapote Rd, Barangay 456, Mandaluyong, Philippines"
25.0,Green Holdings 25,36659.0,"Ortigas Ave, Barangay 606, Pasig, Philippines"
26.0,Tech Associates 26,31238.0,"Taft ave, brgy. 456, manila, philippines"
27.0,Elite Corp 27,45064.0,"SLEX, Brgy. 606, Pasig, Philippines"
,Global Holdings 28,61115.0,"Katipunan Ave, Brgy. 303, Taguig, Philippines"
29.0,Sky  Industries  29,61952.0,"Edsa, brgy. 606, makati, philippines!"
30.0,Quantum Holdings 30,35620.0,"EDSA, Barangay 789, Pasig, Philippines"
31.0,Sky Consulting 31,74258.0,"Ayala Avenue, Barangay 456, Mandaluyong, Philippines"
32.0,Prime  Consulting  32,34470.0,"Roxas blvd, barangay 505, quezon city, philippines"
33.0,Green  Consulting  33,52003.0,"Shaw blvd, barangay 707, mandaluyong, philippines!"
34.0,Pioneer Corp 34,57571.0,"Ortigas ave, barangay 707, makati, philippines"
35.0,Tech  Network  35,54668.0,"Roxas Blvd, Brgy. 123, Davao City, Philippines"
,Pioneer Network 36,107259.0,"Taft Ave, Barangay 123, Pasig, Philippines"
37.0,Prime Holdings 37,62046.0,"Katipunan Ave, Barangay 456, Mandaluyong, Philippines"
38.0,Sky Network 38,100977.0,"Commonwealth Ave, Barangay 202, Makati, Philippines"
39.0,Prime  Consulting  39,107255.0,"Ortigas Ave, Barangay 606, Davao City, Philippines"
,Innovative Holdings 40,35397.0,"Slex, brgy. 202, manila, philippines"
41.0,Sky Partners 41,,"Ayala Avenue, Barangay 404, Pasig, Philippines"
42.0,Sky  Holdings  42,52233.0,"Ayala Avenue, Brgy. 101, Baguio, Philippines"
43.0,Quantum Network 43,113336.0,"Ortigas Ave, Barangay 404, Cebu City, Philippines"
44.0,Tech  Solutions  44,,"Ortigas ave, barangay 202, cebu city, philippines"
45.0,Prime Industries 45,99726.0,"Roxas Blvd, Barangay 404, Mandaluyong, Philippines"
