Product_ID,Product_Name,Product_Price
1.0,FinPredictor Suite,"?140,000"
2.0,MarketMinder Analytics,"?168,000"
3.0,TrendWise Forecaster,"?100,800"
4.0,CustomerScope Insights,"?123,200"
5.0,SalesSync Optimizer,"?84,000"
6.0,RevenueVue Dashboard,"?179,200"
7.0,DataBridge Integration Tool,"?151,200"
,RiskRadar Monitor,"?151,200"
9.0,Product 9,"?112,000"
10.0,SegmentX Targeting,"?89,600"
11.0,OptiFlow Automation,"?156,800"
12.0,BudgetMaster Pro,"?84,000"
13.0,ForecastXcelerator ,"?196,000"
14.0,InsightMax Insights Platform,"?128,800"
15.0,NexGen Segmentator,"?100,800"
,SpendTrack Plus,"?106,400"
17.0,RealTime Revenue,"?168,000"
18.0,DashSync Analytics Hub,"?134,400"
19.0,EcoNomix Modeler,"?95,200"
20.0,FinSphere Intelligence Suite,"?224,000"
